ds,y
2015-10-22,36
2015-10-23,28
2015-10-24,14
2015-10-25,14
2015-10-26,28
2015-10-27,44
2015-10-28,33
2015-10-29,34
2015-10-30,34
2015-10-31,21
2015-11-01,21
2015-11-02,23
2015-11-03,51
2015-11-04,32
2015-11-05,43
2015-11-06,49
2015-11-07,16
2015-11-08,16
2015-11-09,45
2015-11-10,46
2015-11-11,30
2015-11-12,52
2015-11-13,45
2015-11-14,19
2015-11-15,11
2015-11-16,37
2015-11-17,49
2015-11-18,67
2015-11-19,42
2015-11-20,35
2015-11-21,17
2015-11-22,29
2015-11-23,28
2015-11-24,38
2015-11-25,43
2015-11-26,22
2015-11-27,55
2015-11-28,16
2015-11-29,22
2015-11-30,40
2015-12-01,38
2015-12-02,63
2015-12-03,44
2015-12-04,39
2015-12-05,16
2015-12-06,7
2015-12-07,35
2015-12-08,43
2015-12-09,32
2015-12-10,39
2015-12-11,33
2015-12-12,17
2015-12-13,18
2015-12-14,36
2015-12-15,35
2015-12-16,35
2015-12-17,29
2015-12-18,30
2015-12-19,10
2015-12-20,11
2015-12-21,53
2015-12-22,56
2015-12-23,23
2015-12-24,16
2015-12-25,8
2015-12-26,14
2015-12-27,3
2015-12-28,29
2015-12-29,51
2015-12-30,50
2015-12-31,40
2016-01-01,13
2016-01-02,15
2016-01-03,17
2016-01-04,45
2016-01-05,37
2016-01-06,51
2016-01-07,52
2016-01-08,29
2016-01-09,16
2016-01-10,11
2016-01-11,45
2016-01-12,67
2016-01-13,54
2016-01-14,50
2016-01-15,30
2016-01-16,14
2016-01-17,14
2016-01-18,22
2016-01-19,41
2016-01-20,36
2016-01-21,49
2016-01-22,30
2016-01-23,19
2016-01-24,13
2016-01-25,38
2016-01-26,67
2016-01-27,42
2016-01-28,43
2016-01-29,37
2016-01-30,14
2016-01-31,16
2016-02-01,53
2016-02-02,48
2016-02-03,51
2016-02-04,38
2016-02-05,42
2016-02-06,13
2016-02-07,13
2016-02-08,39
2016-02-09,42
2016-02-10,40
2016-02-11,60
2016-02-12,34
2016-02-13,11
2016-02-14,9
2016-02-15,43
2016-02-16,51
2016-02-17,53
2016-02-18,41
2016-02-19,43
2016-02-20,19
2016-02-21,15
2016-02-22,37
2016-02-23,53
2016-02-24,53
2016-02-25,50
2016-02-26,28
2016-02-27,11
2016-02-28,13
2016-02-29,41
2016-03-01,53
2016-03-02,66
2016-03-03,43
2016-03-04,48
2016-03-05,28
2016-03-06,27
2016-03-07,41
2016-03-08,72
2016-03-09,37
2016-03-10,42
2016-03-11,49
2016-03-12,15
2016-03-13,25
2016-03-14,40
2016-03-15,70
2016-03-16,69
2016-03-17,65
2016-03-18,67
2016-03-19,22
2016-03-20,21
2016-03-21,61
2016-03-22,56
2016-03-23,59
2016-03-24,64
2016-03-25,51
2016-03-26,21
2016-03-27,18
2016-03-28,48
2016-03-29,62
2016-03-30,81
2016-03-31,68
2016-04-01,57
2016-04-02,15
2016-04-03,17
2016-04-04,55
2016-04-05,48
2016-04-06,65
2016-04-07,53
2016-04-08,40
2016-04-09,16
2016-04-10,19
2016-04-11,69
2016-04-12,56
2016-04-13,72
2016-04-14,54
2016-04-15,52
2016-04-16,20
2016-04-17,13
2016-04-18,50
2016-04-19,37
2016-04-20,51
2016-04-21,59
2016-04-22,39
2016-04-23,18
2016-04-24,21
2016-04-25,44
2016-04-26,78
2016-04-27,86
2016-04-28,66
2016-04-29,58
2016-04-30,13
2016-05-01,15
2016-05-02,68
2016-05-03,66
2016-05-04,54
2016-05-05,70
2016-05-06,51
2016-05-07,18
2016-05-08,16
2016-05-09,44
2016-05-10,84
2016-05-11,71
2016-05-12,66
2016-05-13,39
2016-05-14,24
2016-05-15,30
2016-05-16,60
2016-05-17,64
2016-05-18,70
2016-05-19,56
2016-05-20,34
2016-05-21,24
2016-05-22,12
2016-05-23,61
2016-05-24,64
2016-05-25,59
2016-05-26,60
2016-05-27,47
2016-05-28,17
2016-05-29,13
2016-05-30,25
2016-05-31,52
2016-06-01,56
2016-06-02,57
2016-06-03,69
2016-06-04,17
2016-06-05,28
2016-06-06,55
2016-06-07,77
2016-06-08,62
2016-06-09,75
2016-06-10,45
2016-06-11,23
2016-06-12,18
2016-06-13,52
2016-06-14,62
2016-06-15,89
2016-06-16,43
2016-06-17,39
2016-06-18,19
2016-06-19,12
2016-06-20,54
2016-06-21,65
2016-06-22,54
2016-06-23,71
2016-06-24,48
2016-06-25,24
2016-06-26,25
2016-06-27,47
2016-06-28,70
2016-06-29,70
2016-06-30,50
2016-07-01,45
2016-07-02,23
2016-07-03,25
2016-07-04,19
2016-07-05,36
2016-07-06,83
2016-07-07,50
2016-07-08,52
2016-07-09,24
2016-07-10,21
2016-07-11,40
2016-07-12,51
2016-07-13,100
2016-07-14,49
2016-07-15,59
2016-07-16,29
2016-07-17,11
2016-07-18,41
2016-07-19,56
2016-07-20,54
2016-07-21,54
2016-07-22,70
2016-07-23,32
2016-07-24,21
2016-07-25,66
2016-07-26,108
2016-07-27,88
2016-07-28,82
2016-07-29,45
2016-07-30,13
2016-07-31,25
2016-08-01,34
2016-08-02,78
2016-08-03,76
2016-08-04,70
2016-08-05,45
2016-08-06,21
2016-08-07,17
2016-08-08,65
2016-08-09,69
2016-08-10,56
2016-08-11,73
2016-08-12,56
2016-08-13,28
2016-08-14,30
2016-08-15,49
2016-08-16,75
2016-08-17,60
2016-08-18,47
2016-08-19,55
2016-08-20,13
2016-08-21,22
2016-08-22,33
2016-08-23,61
2016-08-24,42
2016-08-25,46
2016-08-26,37
2016-08-27,28
2016-08-28,17
2016-08-29,46
2016-08-30,72
2016-08-31,73
2016-09-01,47
2016-09-02,26
2016-09-03,19
2016-09-04,13
2016-09-05,13
2016-09-06,64
2016-09-07,55
2016-09-08,62
2016-09-09,61
2016-09-10,22
2016-09-11,13
2016-09-12,50
2016-09-13,74
2016-09-14,55
2016-09-15,53
2016-09-16,56
2016-09-17,19
2016-09-18,10
2016-09-19,53
2016-09-20,80
2016-09-21,57
2016-09-22,65
2016-09-23,64
2016-09-24,30
2016-09-25,20
2016-09-26,56
2016-09-27,74
2016-09-28,72
2016-09-29,50
2016-09-30,46
2016-10-01,22
2016-10-02,19
2016-10-03,65
2016-10-04,73
2016-10-05,55
2016-10-06,61
2016-10-07,44
2016-10-08,15
2016-10-09,29
2016-10-10,48
2016-10-11,58
2016-10-12,47
2016-10-13,79
2016-10-14,70
2016-10-15,38
2016-10-16,28
2016-10-17,44
2016-10-18,67
2016-10-19,48
2016-10-20,69
2016-10-21,40
2016-10-22,17
2016-10-23,14
2016-10-24,46
2016-10-25,61
2016-10-26,47
2016-10-27,57
2016-10-28,42
2016-10-29,30
2016-10-30,16
2016-10-31,68
2016-11-01,55
2016-11-02,55
2016-11-03,75
2016-11-04,54
2016-11-05,20
2016-11-06,27
2016-11-07,45
2016-11-08,59
2016-11-09,60
2016-11-10,42
2016-11-11,36
2016-11-12,22
2016-11-13,22
2016-11-14,42
2016-11-15,43
2016-11-16,55
2016-11-17,61
2016-11-18,48
2016-11-19,18
2016-11-20,16
2016-11-21,40
2016-11-22,44
2016-11-23,38
2016-11-24,12
2016-11-25,17
2016-11-26,12
2016-11-27,12
2016-11-28,18
2016-11-29,48
2016-11-30,39
2016-12-01,59
2016-12-02,42
2016-12-03,26
2016-12-04,21
2016-12-05,40
2016-12-06,58
2016-12-07,54
2016-12-08,42
2016-12-09,30
2016-12-10,17
2016-12-11,11
2016-12-12,75
2016-12-13,41
2016-12-14,44
2016-12-15,51
2016-12-16,59
2016-12-17,24
2016-12-18,18
2016-12-19,49
2016-12-20,63
2016-12-21,36
2016-12-22,31
2016-12-23,26
2016-12-24,9
2016-12-25,12
2016-12-26,17
2016-12-27,47
2016-12-28,52
2016-12-29,40
2016-12-30,40
2016-12-31,8
2017-01-01,9
2017-01-02,21
2017-01-03,47
2017-01-04,57
2017-01-05,56
2017-01-06,45
2017-01-07,24
2017-01-08,20
2017-01-09,48
2017-01-10,51
2017-01-11,50
2017-01-12,30
2017-01-13,49
2017-01-14,23
2017-01-15,19
2017-01-16,27
2017-01-17,37
2017-01-18,55
2017-01-19,46
2017-01-20,59
2017-01-21,23
2017-01-22,17
2017-01-23,46
2017-01-24,71
2017-01-25,59
